UK Independence Party (UKIP),south-west,Julia Reid,JOANNA JULIA REID,secretary,DAVID E REID ASSOCIATES LIMITED,03722203,gb,https://opencorporates.com/companies/gb/03722203
UK Independence Party (UKIP),south-west,Julia Reid,JULIA ANNE REID,director,REITH ASSOCIATES LIMITED,SC223086,gb,https://opencorporates.com/companies/gb/SC223086
UK Independence Party (UKIP),south-west,Julia Reid,JULIA ANNE REID,secretary,REITH ASSOCIATES LIMITED,SC223086,gb,https://opencorporates.com/companies/gb/SC223086
UK Independence Party (UKIP),south-west,Julia Reid,JULIA BRONWIN REID,secretary,GLOBAL HOMEWARE COLLECTIONS LIMITED,03784918,gb,https://opencorporates.com/companies/gb/03784918
UK Independence Party (UKIP),south-west,Julia Reid,JULIA BRONWIN REID,director,JULIA REID MANUFACTURING LIMITED,04739624,gb,https://opencorporates.com/companies/gb/04739624
UK Independence Party (UKIP),south-west,Julia Reid,JULIA BRONWIN REID,director,GLOBAL HOMEWARE COLLECTIONS LIMITED,03784918,gb,https://opencorporates.com/companies/gb/03784918
UK Independence Party (UKIP),south-west,Julia Reid,JULIA BRONWIN REID,director,INTERIORS BY JULIA REID LIMITED,04739181,gb,https://opencorporates.com/companies/gb/04739181
UK Independence Party (UKIP),south-west,Julia Reid,JULIA BRONWIN REID,director,JULIA REID INTERIORS LIMITED,04344243,gb,https://opencorporates.com/companies/gb/04344243
UK Independence Party (UKIP),south-west,Julia Reid,JULIA BRONWIN REID,director,HAGMAN FINANCIAL SOLUTIONS LIMITED,04012573,gb,https://opencorporates.com/companies/gb/04012573
UK Independence Party (UKIP),south-west,Julia Reid,JULIA IRENE REID,secretary,AJS ELITE CATERING LTD,SC297622,gb,https://opencorporates.com/companies/gb/SC297622
UK Independence Party (UKIP),south-west,Julia Reid,JULIA IRENE REID,secretary,CLOAN HATCHERIES LIMITED,SC055383,gb,https://opencorporates.com/companies/gb/SC055383
UK Independence Party (UKIP),south-west,Julia Reid,JULIA IRENE REID,secretary,DKM BUILDING SERVICES LTD,SC475555,gb,https://opencorporates.com/companies/gb/SC475555
UK Independence Party (UKIP),south-west,Julia Reid,JULIA REID,director,CASSALINGA CONSULTING SERVICES LIMITED,05977639,gb,https://opencorporates.com/companies/gb/05977639
UK Independence Party (UKIP),south-west,Julia Reid,JULIA REID,director,JULIA REID PSYCHOLOGY SERVICES LTD,08008236,gb,https://opencorporates.com/companies/gb/08008236
UK Independence Party (UKIP),south-west,Julia Reid,JULIA REID,director,FLOWER ESSENCE SUPPLY COMPANY LIMITED,05506534,gb,https://opencorporates.com/companies/gb/05506534
UK Independence Party (UKIP),south-west,Julia Reid,JULIA REID,secretary,THE FIG TREE DELI COMPANY LIMITED,SC342837,gb,https://opencorporates.com/companies/gb/SC342837
UK Independence Party (UKIP),south-west,Julia Reid,JULIA REID,secretary,LANGTOON GARDEN MAINTENANCE LIMITED,SC352315,gb,https://opencorporates.com/companies/gb/SC352315
UK Independence Party (UKIP),south-west,Julia Reid,JULIA REID,director,STRATHCLYDE SECURITIES COMPANY LIMITED,SC022634,gb,https://opencorporates.com/companies/gb/SC022634
UK Independence Party (UKIP),south-west,Julia Reid,JULIA REID,director,TELFER TRUST COMPANY LIMITED (THE),SC019077,gb,https://opencorporates.com/companies/gb/SC019077
UK Independence Party (UKIP),south-west,Julia Reid,JULIA REID,director,CROSSROADS (PERTH & KINROSS) CARE ATTENDANT SCHEME,SC182274,gb,https://opencorporates.com/companies/gb/SC182274
UK Independence Party (UKIP),south-west,Julia Reid,JULIA REID,director,COCHRANE PROPERTY COMPANY LIMITED,SC028051,gb,https://opencorporates.com/companies/gb/SC028051
UK Independence Party (UKIP),south-west,Julia Reid,JULIA REID,secretary,SYNDAXI FINANCIAL PLANNING LIMITED,03531063,gb,https://opencorporates.com/companies/gb/03531063
UK Independence Party (UKIP),south-west,Julia Reid,JULIA REID,director,SYNDAXI FINANCIAL PLANNING LIMITED,03531063,gb,https://opencorporates.com/companies/gb/03531063
UK Independence Party (UKIP),south-west,Julia Reid,JULIA REID,director,CLYDESDALE SECURITIES COMPANY LIMITED,SC021300,gb,https://opencorporates.com/companies/gb/SC021300
UK Independence Party (UKIP),south-west,William Dartmouth,ANDREW WILLIAM DARTMOUTH,director,LONDON CONSTRUCTION & MAINTENANCE LIMITED,06958111,gb,https://opencorporates.com/companies/gb/06958111
UK Independence Party (UKIP),south-west,William Dartmouth,ANDREW WILLIAM DARTMOUTH,director,SUPPORT AND MAINTENANCE SERVICES LIMITED,04921331,gb,https://opencorporates.com/companies/gb/04921331
UK Independence Party (UKIP),south-west,William Dartmouth,ANDREW WILLIAM DARTMOUTH,director,IDEAL CHILDCARE LIMITED,05986067,gb,https://opencorporates.com/companies/gb/05986067
UK Independence Party (UKIP),south-west,William Dartmouth,ANDREW WILLIAM DARTMOUTH,director,DARTMOUTH MEWS DEVELOPEMENTS LTD,04750306,gb,https://opencorporates.com/companies/gb/04750306
UK Independence Party (UKIP),south-west,William Dartmouth,ANDREW WILLIAM DARTMOUTH,director,CHARLES DARTMOUTH LIMITED,02587041,gb,https://opencorporates.com/companies/gb/02587041
UK Independence Party (UKIP),south-west,William Dartmouth,ANDREW WILLIAM DARTMOUTH,director,VENTURE HOUSING LIMITED,04186146,gb,https://opencorporates.com/companies/gb/04186146
UK Independence Party (UKIP),south-west,William Dartmouth,ANDREW WILLIAM DARTMOUTH,director,CITY BUILD (LONDON) LTD,07777545,gb,https://opencorporates.com/companies/gb/07777545
